序号,一级分类,二级分类,接口名称,接口路径
45,销售,刊登管理,获取指定 productType 的 JSON Schema,https://apidoc.lingxing.com/#/docs/Sale/PublishManageGetProductType
46,销售,刊登管理,获取运费模板,https://apidoc.lingxing.com/#/docs/Sale/GetMerchantShippingGroup
47,销售,刊登管理,提交商品资料,https://apidoc.lingxing.com/#/docs/Sale/ProductPublish
48,销售,刊登管理,查询刊登结果,https://apidoc.lingxing.com/#/docs/Sale/ProductList
49,销售,平台订单,查询亚马逊订单列表,https://apidoc.lingxing.com/#/docs/Sale/Orderlists
50,销售,平台订单,查询亚马逊订单详情,https://apidoc.lingxing.com/#/docs/Sale/OrderDetail
51,销售,平台订单,更新订单备注,https://apidoc.lingxing.com/#/docs/Sale/ScOrderSetRemark
52,销售,平台订单,查询亚马逊多渠道订单列表v2,https://apidoc.lingxing.com/#/docs/Sale/MCFOrderList
53,销售,平台订单,查询亚马逊多渠道订单详情-商品信息,https://apidoc.lingxing.com/#/docs/Sale/ProductInformation
54,销售,平台订单,查询亚马逊多渠道订单详情-物流信息,https://apidoc.lingxing.com/#/docs/Sale/LogisticsInformation
55,销售,平台订单,查询亚马逊多渠道订单详情-退货换货信息,https://apidoc.lingxing.com/#/docs/Sale/ReturnInfomation
56,销售,平台订单,创建亚马逊多渠道订单,https://apidoc.lingxing.com/#/docs/Sale/FbaCreateOrder
57,销售,平台订单,查询售后订单列表,https://apidoc.lingxing.com/#/docs/Sale/afterSaleList
58,销售,平台订单,取消多渠道订单,https://apidoc.lingxing.com/#/docs/Sale/cancelOrder
59,销售,平台订单,查询多渠道订单-交易明细,https://apidoc.lingxing.com/#/docs/Sale/MutilChannelTransactionDetail
60,销售,自发货管理,查询亚马逊自发货订单列表,https://apidoc.lingxing.com/#/docs/Sale/FBMOrderList
61,销售,自发货管理,查询亚马逊自发货订单详情,https://apidoc.lingxing.com/#/docs/Sale/FBMOrderDetail
62,销售,自发货管理,亚马逊订单提交标发,https://apidoc.lingxing.com/#/docs/Sale/SubmitFulfillment
63,销售,自发货管理,查询亚马逊标发结果,https://apidoc.lingxing.com/#/docs/Sale/GetFulfillmentResult
64,销售,自发货管理,导入面单,https://apidoc.lingxing.com/#/docs/Sale/UploadTracking
65,销售,促销管理,查询促销活动列表-优惠券,https://apidoc.lingxing.com/#/docs/Sale/promotionalActivitiesCouponList
66,销售,促销管理,查询促销活动列表-秒杀,https://apidoc.lingxing.com/#/docs/Sale/promotionalActivitiesSecKillList
67,销售,促销管理,查询促销活动列表-管理促销,https://apidoc.lingxing.com/#/docs/Sale/promotionalActivitiesManageList
68,销售,促销管理,查询促销活动列表-会员折扣,https://apidoc.lingxing.com/#/docs/Sale/promotionalActivitiesVipDiscountList
69,销售,促销管理,查询优惠券详情+listing+订单(批量),https://apidoc.lingxing.com/#/docs/Sale/promotionCouponAllDetailBatch
70,销售,促销管理,查询管理促销详情+listing+订单(批量),https://apidoc.lingxing.com/#/docs/Sale/promotionManagementAllDetailBatch
71,销售,促销管理,查询会员折扣or价格折扣详情+listing+订单(批量),https://apidoc.lingxing.com/#/docs/Sale/promotionPrimeDiscountAllDetailBatch
72,销售,促销管理,查询秒杀详情+listing+订单(批量),https://apidoc.lingxing.com/#/docs/Sale/promotionSecKillAllDetailBatch
73,销售,促销管理,查询商品折扣列表,https://apidoc.lingxing.com/#/docs/Sale/promotionListingList
74,销售,促销管理,查询商品折扣详情-列表-优惠卷,https://apidoc.lingxing.com/#/docs/Sale/promotionListingDetailCoupon
75,销售,促销管理,查询商品折扣详情-列表-管理促销,https://apidoc.lingxing.com/#/docs/Sale/promotionListingDetailManage
76,销售,促销管理,查询商品折扣详情-列表-会员折扣,https://apidoc.lingxing.com/#/docs/Sale/promotionListingDetailPrimeDiscount
77,销售,促销管理,查询商品折扣详情-列表-秒杀,https://apidoc.lingxing.com/#/docs/Sale/promotionListingDetailSecKill
78,FBA,发货计划,查询FBA发货计划,https://apidoc.lingxing.com/#/docs/FBA/ShipmentPlanLists
79,FBA,发货计划,创建FBA发货计划,https://apidoc.lingxing.com/#/docs/FBA/CreateShipmentPlan
80,FBA,发货计划,编辑FBA发货计划,https://apidoc.lingxing.com/#/docs/FBA/UpdatePlanLists
81,FBA,发货单,查询FBA发货单列表,https://apidoc.lingxing.com/#/docs/FBA/GetInboundShipmentList
82,FBA,发货单,查询FBA发货单详情,https://apidoc.lingxing.com/#/docs/FBA/getInboundShipmentListMwsDetail
83,FBA,发货单,批量查询FBA发货单详情,https://apidoc.lingxing.com/#/docs/FBA/GetInboundShipmentListMwsDetailList
84,FBA,发货单,生成待发货的发货单,https://apidoc.lingxing.com/#/docs/FBA/createReadySendOrder
85,FBA,发货单,生成已发货的发货单,https://apidoc.lingxing.com/#/docs/FBA/CreateSendedOrder
86,FBA,发货单,发货单创建接口结果查询,https://apidoc.lingxing.com/#/docs/FBA/searchProcessResult
87,FBA,发货单,发货单分配库存,https://apidoc.lingxing.com/#/docs/FBA/ShipmentLockStock
88,FBA,发货单,发货单释放库存,https://apidoc.lingxing.com/#/docs/FBA/outboundOrderReleaseStock
89,FBA,发货单,FBA发货单发货,https://apidoc.lingxing.com/#/docs/FBA/SendGoods
90,FBA,发货单,编辑发货单,https://apidoc.lingxing.com/#/docs/FBA/updateInboundShipmentListMws
91,FBA,发货单,删除发货单,https://apidoc.lingxing.com/#/docs/Warehouse/DeleteFbaShipmentList
92,FBA,发货单,作废发货单,https://apidoc.lingxing.com/#/docs/FBA/InvalidShipmentSn
93,FBA,发货单,更新发货单物流信息,https://apidoc.lingxing.com/#/docs/FBA/updateListLogistics
94,FBA,发货单,更新发货单自定义成本,https://apidoc.lingxing.com/#/docs/FBA/UpdateCustomCost
95,FBA,发货单,获取发货单头程物流-承运商信息,https://apidoc.lingxing.com/#/docs/FBA/GetSeaTrackSupplierCarriers
96,FBA,发货单,获取发货单头程物流-其他费类型,https://apidoc.lingxing.com/#/docs/FBA/GetHeadLogisticsFeeTypes
97,FBA,FBA货件（STA）,创建STA任务,https://apidoc.lingxing.com/#/docs/FBA/CreateSTATask
98,FBA,FBA货件（STA）,查询包装组,https://apidoc.lingxing.com/#/docs/FBA/ListPackingGroupItems
99,FBA,FBA货件（STA）,保存装箱信息,https://apidoc.lingxing.com/#/docs/FBA/SavePackingInfomation
100,FBA,FBA货件（STA）,提交装箱信息,https://apidoc.lingxing.com/#/docs/FBA/SubPackingInformation
101,FBA,FBA货件（STA）,生成货件方案,https://apidoc.lingxing.com/#/docs/FBA/GenerateShipmentPlan
102,FBA,FBA货件（STA）,查询货件方案,https://apidoc.lingxing.com/#/docs/FBA/ShipmentPreView
103,FBA,FBA货件（STA）,查询货件方案的装箱信息,https://apidoc.lingxing.com/#/docs/FBA/getInboundPackingBoxInfo
104,FBA,FBA货件（STA）,确认货件方案,https://apidoc.lingxing.com/#/docs/FBA/ConfirmShipmentPlan
105,FBA,FBA货件（STA）,生成承运方式,https://apidoc.lingxing.com/#/docs/FBA/GenerateTransportList
106,FBA,FBA货件（STA）,生成可选送达时间,https://apidoc.lingxing.com/#/docs/FBA/GenerateDeliveryDateList
107,FBA,FBA货件（STA）,查询承运方式,https://apidoc.lingxing.com/#/docs/FBA/GetTransportList
108,FBA,FBA货件（STA）,查询可选送达时间,https://apidoc.lingxing.com/#/docs/FBA/GetDeliveryDateList
109,FBA,FBA货件（STA）,提交送达时间,https://apidoc.lingxing.com/#/docs/FBA/SubDeliveryTime
110,FBA,FBA货件（STA）,提交货件配送服务,https://apidoc.lingxing.com/#/docs/FBA/SubShipmentDistributionService
111,FBA,FBA货件（STA）,上传货件跟踪号,https://apidoc.lingxing.com/#/docs/FBA/UploadShipmentTrackingNumber
112,FBA,FBA货件（STA）,修改货件装箱信息,https://apidoc.lingxing.com/#/docs/FBA/UpdateShipmentPacking
113,FBA,FBA货件（STA）,修改货件实际状态,https://apidoc.lingxing.com/#/docs/FBA/UpdateShipmentActualStatus
114,FBA,FBA货件（STA）,上传货件跟踪号,https://apidoc.lingxing.com/#/docs/FBA/UpdateShipmentTrack
115,FBA,FBA货件（STA）,取消STA任务,https://apidoc.lingxing.com/#/docs/FBA/CancelSTATask
116,FBA,FBA货件（STA）,查询异步任务状态,https://apidoc.lingxing.com/#/docs/FBA/Operate
117,FBA,FBA货件（STA）,获取商品预处理信息,https://apidoc.lingxing.com/#/docs/FBA/GetPrepareDetails
118,FBA,FBA货件（STA）,同步STA任务到ERP,https://apidoc.lingxing.com/#/docs/FBA/SynchronizeSTATask
119,FBA,FBA货件（STA）,同步亚马逊货件到ERP,https://apidoc.lingxing.com/#/docs/FBA/SyncShipment
120,FBA,FBA货件（STA）,查询FBA货件箱子、卡板标签,https://apidoc.lingxing.com/#/docs/FBA/printFbaLabels
121,FBA,FBA货件（STA）,查询FBA货件商品FNSKU标签,https://apidoc.lingxing.com/#/docs/FBA/printFnskuLabels
122,FBA,FBA货件（STA）,查询STA任务列表,https://apidoc.lingxing.com/#/docs/FBA/QuerySTATaskList
123,FBA,FBA货件（STA）,查询STA任务详情,https://apidoc.lingxing.com/#/docs/FBA/StaTaskDetail
124,FBA,FBA货件（STA）,查询STA任务包装组装箱信息,https://apidoc.lingxing.com/#/docs/FBA/QuerySTATaskBoxInformation
125,FBA,FBA货件（STA）,查询货件列表,https://apidoc.lingxing.com/#/docs/FBA/FBAShipmentList
126,FBA,FBA货件（STA）,查询货件详情,https://apidoc.lingxing.com/#/docs/FBA/ShipmentDetailList
127,FBA,FBA货件（STA）,查询货件装箱信息（旧）,https://apidoc.lingxing.com/#/docs/FBA/BoxInfo
128,FBA,FBA货件（STA）,查询FBA商品信息列表（旧）,https://apidoc.lingxing.com/#/docs/FBA/GetFbaProductList
129,FBA,FBA货件（STA）,查询货件装箱信息,https://apidoc.lingxing.com/#/docs/FBA/ListShipmentBoxes
130,FBA,FBA货件（STA）,查询FBA到货接收明细,https://apidoc.lingxing.com/#/docs/FBA/FBAReceivedInventory
131,FBA,FBA货件（STA）,地址簿-发货地址列表,https://apidoc.lingxing.com/#/docs/FBA/ShipFromAddressList
132,FBA,FBA货件（STA）,地址簿-发货地址创建,https://apidoc.lingxing.com/#/docs/FBA/CreateShipFromAddress
133,FBA,FBA货件（STA）,地址簿-发货地址修改,https://apidoc.lingxing.com/#/docs/FBA/UpdateShipFromAddress
134,FBA,FBA货件（STA）,地址簿-配送地址详情,https://apidoc.lingxing.com/#/docs/FBA/ShoppingAddress
135,FBA,FBA货件（STA）,取消AWD入库任务,https://apidoc.lingxing.com/#/docs/Warehouse/awdInboundPlanCancel
136,FBA,FBA货件（STA）,确认AWD入库任务,https://apidoc.lingxing.com/#/docs/Warehouse/awdInboundPlanConfirmInboundPlan
137,FBA,FBA货件（STA）,创建AWD入库任务,https://apidoc.lingxing.com/#/docs/Warehouse/awdInboundPlanCreatePlan
138,FBA,FBA货件（STA）,查询AWD入库任务详情,https://apidoc.lingxing.com/#/docs/Warehouse/awdInboundPlanDetail
139,FBA,FBA货件（STA）,查询AWD入库任务列表,https://apidoc.lingxing.com/#/docs/Warehouse/awdInboundPlanPage
140,FBA,FBA货件（STA）,更新AWD入库任务,https://apidoc.lingxing.com/#/docs/Warehouse/awdInboundPlanUpdateInboundPlan
141,FBA,FBA货件（STA）,查询AWD入库货件详情,https://apidoc.lingxing.com/#/docs/Warehouse/awdInboundShipmentDetail
142,FBA,FBA货件（STA）,查询AWD入库货件列表,https://apidoc.lingxing.com/#/docs/Warehouse/awdInboundShipmentPage
143,FBA,FBA货件（STA）,更新AWD货件跟踪编号,https://apidoc.lingxing.com/#/docs/Warehouse/awdInboundShipmentUpdateShipmentInfo
144,FBA,FBA货件（STA）,打印AWD入库货件箱子标签,https://apidoc.lingxing.com/#/docs/Warehouse/awdInboundShipmentUploadPacking
145,补货建议,,查询补货列表,https://apidoc.lingxing.com/#/docs/FBASug/GetSummaryList
146,补货建议,,查询规则-ASIN,https://apidoc.lingxing.com/#/docs/FBASug/ConfigASIN
147,补货建议,,查询规则-MSKU,https://apidoc.lingxing.com/#/docs/FBASug/ConfigMSKU
148,补货建议,,查询建议信息-ASIN,https://apidoc.lingxing.com/#/docs/FBASug/InfoASIN
149,补货建议,,查询建议信息-MSKU,https://apidoc.lingxing.com/#/docs/FBASug/InfoMSKU
150,补货建议,,单个设置规则-ASIN,https://apidoc.lingxing.com/#/docs/FBASug/SetConfigASIN
151,补货建议,,单个设置规则-MSKU,https://apidoc.lingxing.com/#/docs/FBASug/SetConfigMSKU
152,补货建议,,批量设置规则-ASIN,https://apidoc.lingxing.com/#/docs/FBASug/SetConfigsASIN
153,补货建议,,批量设置规则-MSKU,https://apidoc.lingxing.com/#/docs/FBASug/SetConfigsMSKU
154,补货建议,,查询报表型数据明细-ASIN,https://apidoc.lingxing.com/#/docs/FBASug/SourceListASIN
155,补货建议,,查询报表型数据明细-MSKU,https://apidoc.lingxing.com/#/docs/FBASug/SourceListMSKU
156,补货建议,,查询未来销量预测和库存预测-ASIN,https://apidoc.lingxing.com/#/docs/FBASug/DailySalesInfoFeatureASIN
157,补货建议,,查询未来销量预测和库存预测-MSKU,https://apidoc.lingxing.com/#/docs/FBASug/DailySalesInfoFeatureMSKU
158,补货限制,,查询IPI信息,https://apidoc.lingxing.com/#/docs/FBALimit/GetIpiInfo
159,补货限制,,查询补货限制列表,https://apidoc.lingxing.com/#/docs/FBALimit/replenishmentRestrictionList
160,产品,,创建UPC编码,https://apidoc.lingxing.com/#/docs/Product/AddCommodityCode
161,产品,,查询UPC编码列表,https://apidoc.lingxing.com/#/docs/Product/UpcList
162,产品,,查询本地产品列表,https://apidoc.lingxing.com/#/docs/Product/ProductLists
163,产品,,查询本地产品详情,https://apidoc.lingxing.com/#/docs/Product/ProductDetails
164,产品,,批量查询本地产品详情,https://apidoc.lingxing.com/#/docs/Product/batchGetProductInfo
165,产品,,产品启用、禁用,https://apidoc.lingxing.com/#/docs/Product/productOperateBatch
166,产品,,添加/编辑本地产品,https://apidoc.lingxing.com/#/docs/Product/SetProduct
167,产品,,查询产品属性列表,https://apidoc.lingxing.com/#/docs/Product/attributeList
168,产品,,添加/编辑产品属性,https://apidoc.lingxing.com/#/docs/Product/attributeSet
169,产品,,查询多属性产品列表,https://apidoc.lingxing.com/#/docs/Product/spuList
170,产品,,查询多属性产品详情,https://apidoc.lingxing.com/#/docs/Product/spuInfo
171,产品,,添加/编辑多属性产品,https://apidoc.lingxing.com/#/docs/Product/spuSet
172,产品,,查询捆绑产品关系列表,https://apidoc.lingxing.com/#/docs/Product/bundledProductList
173,产品,,添加/编辑捆绑产品,https://apidoc.lingxing.com/#/docs/Product/SetBundled
174,产品,,查询产品辅料列表,https://apidoc.lingxing.com/#/docs/Product/productAuxList
175,产品,,添加/编辑辅料,https://apidoc.lingxing.com/#/docs/Product/setAux
176,产品,,查询产品品牌列表,https://apidoc.lingxing.com/#/docs/Product/Brand
177,产品,,添加/编辑产品品牌,https://apidoc.lingxing.com/#/docs/Product/SetBrand
178,产品,,查询产品分类列表,https://apidoc.lingxing.com/#/docs/Product/Category
179,产品,,添加/编辑产品分类,https://apidoc.lingxing.com/#/docs/Product/SetCategory
180,产品,,上传本地产品图片,https://apidoc.lingxing.com/#/docs/Product/UploadPictures
181,产品,,查询产品标签,https://apidoc.lingxing.com/#/docs/Product/GetProductTag
182,产品,,创建产品标签,https://apidoc.lingxing.com/#/docs/Product/CreateProductTag
183,产品,,标记产品标签,https://apidoc.lingxing.com/#/docs/Product/SetProductTag
184,产品,,删除产品标签,https://apidoc.lingxing.com/#/docs/Product/DelProductTag
185,产品,,查询操作日志,https://apidoc.lingxing.com/#/docs/Product/GetPagingLogLists
186,产品,,查询透明计划商品列表,https://apidoc.lingxing.com/#/docs/Product/getTransparencyProductList
187,采购,,查询供应商列表,https://apidoc.lingxing.com/#/docs/Purchase/Supplier
188,采购,,添加/修改供应商,https://apidoc.lingxing.com/#/docs/Purchase/SupplierEdit
189,采购,,查询采购方列表,https://apidoc.lingxing.com/#/docs/Purchase/purchaserLists
190,采购,,查询采购计划列表,https://apidoc.lingxing.com/#/docs/Purchase/getPurchasePlans
191,采购,,创建待采购的采购计划,https://apidoc.lingxing.com/#/docs/Purchase/createPurchasePlan
192,采购,,查询采购单列表,https://apidoc.lingxing.com/#/docs/Purchase/PurchaseOrderList
193,采购,,采购单下单,https://apidoc.lingxing.com/#/docs/Purchase/SetOrders
194,采购,,作废采购单,https://apidoc.lingxing.com/#/docs/Purchase/Cancel
195,采购,,创建待到货的采购单,https://apidoc.lingxing.com/#/docs/Purchase/CreatePurchaseOrder
196,采购,,查询采购退货单列表,https://apidoc.lingxing.com/#/docs/Purchase/getPurchaseReturnOrderList
197,采购,,创建已完成的采购退货单,https://apidoc.lingxing.com/#/docs/Purchase/createPurchaseReturnOrder
198,采购,,作废采购/委外退货单,https://apidoc.lingxing.com/#/docs/Purchase/CancelPurchaseReturnOrder
199,采购,,查询采购变更单列表,https://apidoc.lingxing.com/#/docs/Purchase/changeOrderList
200,采购,,创建已完成的采购变更单,https://apidoc.lingxing.com/#/docs/Purchase/createPurchaseChangeOrder
201,采购,,查询委外订单列表,https://apidoc.lingxing.com/#/docs/Purchase/getOrders
202,采购,,添加采购单物流信息,https://apidoc.lingxing.com/#/docs/Purchase/addLogistics
203,采购,,作废采购计划,https://apidoc.lingxing.com/#/docs/Purchase/PurchasePlanCancel
204,采购,,编辑采购单备注,https://apidoc.lingxing.com/#/docs/Purchase/OrderModifyRemark
205,采购,,采购单整单结束到货,https://apidoc.lingxing.com/#/docs/Purchase/setOrderFinish
206,仓库,仓库设置,查询仓库列表,https://apidoc.lingxing.com/#/docs/Warehouse/WarehouseLists
207,仓库,仓库设置,添加/修改仓库,https://apidoc.lingxing.com/#/docs/Warehouse/EditWarehouse
208,仓库,仓库设置,查询本地仓位列表,https://apidoc.lingxing.com/#/docs/Warehouse/warehouseBin
209,仓库,仓库设置,添加仓位,https://apidoc.lingxing.com/#/docs/Warehouse/binCreate
210,仓库,仓库设置,启用、禁用仓位,https://apidoc.lingxing.com/#/docs/Warehouse/switchStatus
211,仓库,仓库设置,海外仓sku配对,https://apidoc.lingxing.com/#/docs/Warehouse/OverseaWarehouseProductMatch
212,仓库,仓库设置,海外sku取消配对,https://apidoc.lingxing.com/#/docs/Warehouse/OverseaWarehouseProductUnMatch
213,仓库,仓库设置,查询产品仓位列表,https://apidoc.lingxing.com/#/docs/Warehouse/getEntryRecommendBinList
214,仓库,库存&amp;流水,查询FBA库存列表,https://apidoc.lingxing.com/#/docs/Warehouse/FBAStock
215,仓库,库存&amp;流水,查询FBA库存列表v2,https://apidoc.lingxing.com/#/docs/Warehouse/FBAStock_v2
216,仓库,库存&amp;流水,查询AWD库存列表,https://apidoc.lingxing.com/#/docs/Warehouse/AwdWarehouseDetail
217,仓库,库存&amp;流水,查询仓库库存明细,https://apidoc.lingxing.com/#/docs/Warehouse/InventoryDetails
218,仓库,库存&amp;流水,查询仓位库存明细,https://apidoc.lingxing.com/#/docs/Warehouse/inventoryBinDetails
219,仓库,库存&amp;流水,查询批次明细,https://apidoc.lingxing.com/#/docs/Warehouse/GetBatchDetailList
220,仓库,库存&amp;流水,查询批次流水,https://apidoc.lingxing.com/#/docs/Warehouse/GetBatchStatementList
221,仓库,库存&amp;流水,查询库存流水（旧）,https://apidoc.lingxing.com/#/docs/Warehouse/WarehouseStatement
222,仓库,库存&amp;流水,查询库存流水（新）,https://apidoc.lingxing.com/#/docs/Warehouse/WarehouseStatementNew
223,仓库,库存&amp;流水,查询仓位流水,https://apidoc.lingxing.com/#/docs/Warehouse/wareHouseBinStatement
224,仓库,收货质检,查询收货单列表,https://apidoc.lingxing.com/#/docs/Warehouse/PurchaseReceiptOrderList
225,仓库,收货质检,创建待收货的收货单,https://apidoc.lingxing.com/#/docs/Warehouse/createReceiptOrder
226,仓库,收货质检,收货单到货,https://apidoc.lingxing.com/#/docs/Warehouse/Receive
227,仓库,收货质检,收货单快捷入库,https://apidoc.lingxing.com/#/docs/Warehouse/FastReceive
228,仓库,收货质检,查询销售退货单列表,https://apidoc.lingxing.com/#/docs/Warehouse/ReturnList
229,仓库,收货质检,查询质检单列表,https://apidoc.lingxing.com/#/docs/Warehouse/ReceiptOrderQcList
230,仓库,收货质检,查询质检单详情,https://apidoc.lingxing.com/#/docs/Warehouse/qualityInspectionOrderDetail
231,仓库,收货质检,待收货退货单快捷入库,https://apidoc.lingxing.com/#/docs/Warehouse/returnOrderFastStorageIn
232,仓库,收货质检,订单退款,https://apidoc.lingxing.com/#/docs/Sale/RefundOrder
233,仓库,出入库,添加入库单,https://apidoc.lingxing.com/#/docs/Warehouse/OrderAdd
234,仓库,出入库,查询入库单列表,https://apidoc.lingxing.com/#/docs/Warehouse/inboundgetOrders
235,仓库,出入库,撤销入库单,https://apidoc.lingxing.com/#/docs/Warehouse/SetInboundOrderRevoke
236,仓库,出入库,添加出库单,https://apidoc.lingxing.com/#/docs/Warehouse/OrderAddOut
237,仓库,出入库,查询出库单列表,https://apidoc.lingxing.com/#/docs/Warehouse/outboundgetOrders
238,仓库,出入库,查询销售出库单详情,https://apidoc.lingxing.com/#/docs/Warehouse/WmsOrderDetail
239,仓库,出入库,撤销出库单,https://apidoc.lingxing.com/#/docs/Warehouse/SetOutboundOrderRevoke
240,仓库,出入库,创建加工单 / 拆分单,https://apidoc.lingxing.com/#/docs/Warehouse/addStorageProcessOrder
241,仓库,出入库,加工单列表,https://apidoc.lingxing.com/#/docs/Warehouse/getProcessOrderLists
242,仓库,出入库,查询调拨单列表,https://apidoc.lingxing.com/#/docs/Warehouse/getStorageAllocationList
243,仓库,出入库,创建待收货/已完成的调拨单,https://apidoc.lingxing.com/#/docs/Warehouse/AddAllocationOrder
244,仓库,出入库,调拨单全部收货,https://apidoc.lingxing.com/#/docs/Warehouse/receiveAllocationOrder
245,仓库,出入库,调拨单分批收货,https://apidoc.lingxing.com/#/docs/Warehouse/partlyReceiveAllocationOrder
246,仓库,出入库,调拨单结束到货,https://apidoc.lingxing.com/#/docs/Warehouse/finishReceiveAllocationOrder
247,仓库,出入库,删除调拨单,https://apidoc.lingxing.com/#/docs/Warehouse/DeleteStorageAllocationList
248,仓库,出入库,撤销调拨单,https://apidoc.lingxing.com/#/docs/Warehouse/CancelStorageAllocationList
249,仓库,出入库,查询调整单列表,https://apidoc.lingxing.com/#/docs/Warehouse/getStorageAdjustOrderList
250,仓库,出入库,创建已完成的数量调整单,https://apidoc.lingxing.com/#/docs/Warehouse/addAdjustmentOrder
251,仓库,出入库,创建已完成的换标调整单,https://apidoc.lingxing.com/#/docs/Warehouse/addRebrandAdjustmentOrder
252,仓库,出入库,创建已完成的SKU调整单,https://apidoc.lingxing.com/#/docs/Warehouse/addSkuAdjustmentOrder
253,仓库,出入库,查询盘点单列表,https://apidoc.lingxing.com/#/docs/Warehouse/checkGetOrderList
254,仓库,出入库,查询盘点单详情,https://apidoc.lingxing.com/#/docs/Warehouse/checkGetOrderDetail
255,仓库,出入库,创建已完成的盘点单,https://apidoc.lingxing.com/#/docs/Warehouse/checkAddOrder
256,仓库,出入库,获取自定义入库类型,https://apidoc.lingxing.com/#/docs/Warehouse/inboundGetCustomTypes
